City,Country,Date,Max Temp,Humidity,Cloudiness,Wind Speed,Lat,Lng
Eyl,SO,1587418566,28.77,78,29,6.01,7.98,49.82
Trujillo,PE,1587418566,21.0,88,20,5.7,-8.12,-79.03
Zyryanka,RU,1587418566,-9.35,88,98,1.8,65.75,150.85
Airdrie,GB,1587418529,7.78,81,0,7.2,55.87,-3.98
Vao,NC,1587418567,24.5,79,34,5.59,-22.67,167.48
Pangkalanbuun,ID,1587418567,24.98,90,34,1.18,-2.68,111.62
Am Timan,TD,1587418567,30.07,12,63,1.97,11.03,20.28
Lebu,CL,1587418557,14.88,63,43,7.65,-37.62,-73.65
Jining,CN,1587418568,8.3,47,24,5.38,35.41,116.58
Lubao,PH,1587418569,27.0,88,40,1.0,14.92,120.55
Qaanaaq,GL,1587418522,-11.93,85,52,2.97,77.48,-69.36
Māngrol,IN,1587418569,25.71,80,0,4.34,21.12,70.12
Ilulissat,GL,1587418311,-1.0,68,42,1.5,69.22,-51.1
Vila Franca do Campo,PT,1587418569,15.0,67,20,2.1,37.72,-25.43
Benguela,AO,1587418570,26.08,84,35,1.2,-12.58,13.41
Itororó,BR,1587418570,22.01,84,98,0.96,-15.12,-40.07
Kieta,PG,1587418570,27.49,74,25,1.0,-6.22,155.63
Topolobampo,MX,1587418570,32.22,25,20,4.1,25.6,-109.05
Calama,CL,1587418278,24.0,13,0,8.7,-22.47,-68.93
Dunedin,NZ,1587418487,9.69,65,87,2.34,-45.87,170.5
Kapaa,US,1587418522,27.0,69,40,5.1,22.08,-159.32
Saskylakh,RU,1587418275,-4.07,98,70,5.12,71.92,114.08
Chifeng,CN,1587418572,-2.51,58,0,12.78,42.27,118.96
Pampas,PE,1587418572,15.5,18,34,3.28,-12.4,-74.9
Fondi,IT,1587418572,16.67,81,100,1.79,41.35,13.43
Oranjemund,NA,1587418568,15.59,86,15,3.03,-28.55,16.43
Gari,RU,1587418573,5.75,83,100,2.92,59.43,62.35
Port Alfred,ZA,1587418573,18.33,88,36,1.34,-33.59,26.89
Lang Son,VN,1587418573,22.77,86,73,0.99,21.83,106.73
Rāwah,IQ,1587418573,24.08,29,2,2.47,34.48,41.91
Paamiut,GL,1587418574,-1.75,89,37,2.75,61.99,-49.67
Mahébourg,MU,1587418330,24.0,88,75,5.7,-20.41,57.7
Quatre Cocos,MU,1587418575,24.0,88,75,5.7,-20.21,57.76
São João da Barra,BR,1587418575,24.0,69,1,3.1,-21.64,-41.05
Marsá Maţrūḩ,EG,1587418575,17.0,72,100,4.1,31.35,27.25
Kathu,TH,1587418576,27.0,88,20,4.53,7.92,98.33
Naze,JP,1587418297,19.0,72,70,3.6,28.37,129.48
George Town,MY,1587418306,27.0,100,20,1.5,5.41,100.34
Butaritari,KI,1587418576,28.02,79,100,5.88,3.07,172.79
Irbeyskoye,RU,1587418577,1.06,72,100,2.69,55.64,95.45
Kununurra,AU,1587418561,23.0,94,46,0.8,-15.77,128.73
Kochi,IN,1587418577,27.0,94,40,0.5,9.94,76.26
Havelock,US,1587418329,15.56,77,90,6.2,34.88,-76.9
Tasiilaq,GL,1587418578,1.0,87,100,3.1,65.61,-37.64
Angoram,PG,1587418578,22.92,97,98,0.74,-4.06,144.07
Socorro,US,1587418578,27.0,12,75,7.7,31.65,-106.3
Ladário,BR,1587418578,33.0,46,40,3.1,-19.0,-57.6
Ribeira Grande,PT,1587418578,17.0,67,75,8.2,38.52,-28.7
Los Llanos de Aridane,ES,1587418576,20.0,72,75,9.3,28.66,-17.92
Laas,IT,1587418579,7.0,100,75,3.6,46.62,10.7
Taoudenni,ML,1587418412,29.06,14,0,3.73,22.68,-3.98
Takayama,JP,1587418579,13.33,76,90,1.5,36.13,137.25
Thompson,CA,1587418193,-5.0,53,75,7.7,55.74,-97.86
Hithadhoo,MV,1587418581,29.26,69,62,3.61,-0.6,73.08
Deputatsky,RU,1587418581,-10.62,91,100,2.24,69.3,139.9
Lora del Río,ES,1587418582,12.22,93,95,3.1,37.66,-5.53
Aginskoye,RU,1587418582,-7.28,72,100,6.29,51.1,114.53
Esmeraldas,BR,1587418511,23.0,60,40,2.1,-19.76,-44.31
Talnakh,RU,1587418565,0.0,92,90,8.0,69.49,88.4
Étampes,FR,1587418583,16.67,46,94,0.45,48.43,2.15
Morondava,MG,1587418584,25.72,72,0,1.88,-20.28,44.28
Pisco,PE,1587418372,24.0,64,0,9.3,-13.7,-76.22
Tura,IN,1587418330,20.99,78,100,1.58,25.52,90.22
Ascension,US,1587418585,27.22,54,40,2.6,30.22,-90.9
Inuvik,CA,1587418585,-11.0,72,75,3.6,68.35,-133.72
Kharovsk,RU,1587418585,-1.52,97,0,2.05,59.96,40.19
Nishifukuma,JP,1587418586,14.44,62,75,5.1,33.77,130.47
Baker City,US,1587418586,21.0,22,1,1.5,44.77,-117.83
Kahului,US,1587418381,28.0,51,1,3.1,20.89,-156.47
Bengkulu,ID,1587418586,25.67,80,59,2.18,-3.8,102.27
Charters Towers,AU,1587418587,20.38,85,2,2.19,-20.1,146.27
Genhe,CN,1587418587,-9.12,87,100,6.74,50.78,121.52
Oussouye,SN,1587418587,27.0,88,0,2.1,12.48,-16.55
Hay River,CA,1587418588,1.0,59,90,6.7,60.82,-115.8
Praia,CV,1587418535,22.0,73,20,8.2,14.92,-23.51
Cubulco,GT,1587418589,26.0,50,20,5.1,15.13,-90.58
Alyangula,AU,1587418590,20.0,100,75,2.25,-13.85,136.42
Görlitz,DE,1587418590,7.22,59,0,1.79,51.16,14.99
Port Elizabeth,ZA,1587418590,19.0,82,66,7.2,-33.92,25.57
Broome,US,1587418591,11.67,31,1,1.5,42.25,-75.83
Beringovskiy,RU,1587418591,-10.71,94,85,6.25,63.05,179.32
Sambava,MG,1587418591,23.01,88,93,3.6,-14.27,50.17
Vardø,NO,1587418591,2.0,74,40,10.8,70.37,31.11
Ketchikan,US,1587418592,8.0,87,90,3.1,55.34,-131.65
Mana,GF,1587418592,26.38,84,100,3.09,5.66,-53.78
Sabha,LY,1587418590,26.18,19,0,4.55,27.04,14.43
Chokurdakh,RU,1587418592,-6.89,98,100,2.88,70.63,147.92
Mount Isa,AU,1587418593,14.0,47,0,1.5,-20.73,139.5
Sitka,US,1587418538,7.0,93,90,4.6,57.05,-135.33
Mount Gambier,AU,1587418594,10.0,93,90,4.6,-37.83,140.77
Chernyshevskiy,RU,1587418594,-7.56,94,72,1.92,63.01,112.47
Kumul,CN,1587418595,13.08,22,45,2.1,42.8,93.45
Dzilam González,MX,1587418595,32.22,71,25,4.49,21.28,-88.93
Laguna,US,1587418595,21.11,52,75,3.1,38.42,-121.42
Muli,MV,1587418596,29.39,73,66,3.37,2.92,73.57
Caravelas,BR,1587418596,24.59,80,24,6.14,-17.71,-39.25
Smolenka,RU,1587418597,-9.0,43,62,5.0,52.14,113.5
Shishou,CN,1587418597,11.33,83,71,3.23,29.72,112.42
Zaterechnyy,RU,1587418597,12.15,70,100,7.93,44.79,45.21
Ponta Delgada,PT,1587418597,15.0,67,20,2.1,37.73,-25.67
Teahupoo,PF,1587418598,31.0,58,45,1.5,-17.83,-149.27
Walvis Bay,NA,1587418416,20.0,64,99,3.1,-22.96,14.51
Chui,UY,1587418598,21.42,68,0,0.4,-33.7,-53.46
Souillac,MU,1587418559,24.0,88,75,5.7,-20.52,57.52
Green Valley,US,1587418599,28.33,12,1,1.5,31.85,-110.99
Dargaville,NZ,1587418599,16.06,95,99,2.37,-35.93,173.88
Belmonte,BR,1587418599,25.0,78,40,3.1,-15.86,-38.88
Safranbolu,TR,1587418600,10.21,69,98,1.27,41.25,32.69
Ostrovnoy,RU,1587418600,0.32,93,100,8.41,68.05,39.51
São Filipe,CV,1587418540,22.59,76,2,6.57,14.9,-24.5
Gambo,CF,1587418601,22.06,82,99,0.75,4.65,22.26
Saint-Ambroise,CA,1587418601,0.0,33,20,4.1,48.55,-71.33
Leningradskiy,RU,1587418558,-12.58,90,2,2.95,69.38,178.42
Srandakan,ID,1587418601,26.48,83,98,2.65,-7.94,110.25
Jaciara,BR,1587418602,25.36,79,8,0.8,-15.97,-54.97
Vila Velha,BR,1587418314,24.44,78,75,4.6,-20.33,-40.29
Severo-Kuril'sk,RU,1587418602,0.15,93,63,2.52,50.68,156.12
Sechura,PE,1587418602,25.61,63,42,6.65,-5.56,-80.82
Waipawa,NZ,1587418602,14.44,76,80,2.1,-41.41,175.52
Teknāf,BD,1587418603,23.55,89,0,0.92,20.86,92.31
Matagami,CA,1587418604,-1.0,46,90,9.8,49.75,-77.63
Awjilah,LY,1587418604,27.03,15,0,7.77,29.11,21.29
Vestmanna,FO,1587418604,5.0,86,0,1.5,62.16,-7.17
Lorengau,PG,1587418605,28.15,74,23,1.34,-2.02,147.27
Baykit,RU,1587418605,-1.53,93,100,1.42,61.67,96.37
Sazonovo,RU,1587418605,-0.41,93,0,1.97,59.09,35.23
Vetluga,RU,1587418606,2.01,87,42,1.9,57.86,45.78
Nālūt,LY,1587418594,20.81,31,0,4.72,30.33,10.85
Wanning,CN,1587418606,25.11,90,90,4.2,18.8,110.4
Zheleznodorozhnyy,RU,1587418606,3.0,74,0,4.0,55.75,38.0
Barrow,US,1587418502,-17.0,91,90,4.1,71.29,-156.79
Gao,ML,1587418607,34.78,19,92,3.0,16.64,1.64
Esna,EG,1587418607,27.0,34,11,5.44,25.29,32.55
Berlevåg,NO,1587418371,4.0,64,75,12.9,70.86,29.09
Solnechnyy,RU,1587418607,-5.14,93,100,5.73,50.72,136.63
Guadalupe y Calvo,MX,1587418608,23.7,8,71,5.56,26.1,-106.97
Sukhothai,TH,1587418608,32.22,53,27,0.37,17.25,99.67
Port Lincoln,AU,1587418500,15.18,76,27,7.1,-34.73,135.87
Egvekinot,RU,1587418608,-12.94,89,25,3.32,66.32,-179.17
Jobabo,CU,1587418608,32.0,49,75,7.2,20.97,-76.3
Isangel,VU,1587418444,26.87,82,100,2.86,-19.55,169.27
Santa Maria da Vitória,BR,1587418609,23.4,76,31,2.01,-13.39,-44.19
North Bend,US,1587418609,13.33,76,90,3.6,43.41,-124.22
Queimadas,BR,1587418609,25.82,68,51,3.62,-10.98,-39.63
Ixtapa,MX,1587418555,26.0,69,5,5.1,20.7,-105.2
Houma,US,1587418543,28.89,51,1,2.1,29.6,-90.72
Duncan,US,1587418610,23.89,49,1,2.64,34.5,-97.96
Lydenburg,ZA,1587418545,15.0,71,0,1.37,-25.1,30.46
Mokhsogollokh,RU,1587418612,-10.86,92,0,0.97,61.47,128.92
Klaksvík,FO,1587418346,5.0,86,0,1.5,62.23,-6.59
Bakchar,RU,1587418612,7.72,84,41,1.63,57.02,82.07
Morros,BR,1587418612,25.84,69,8,1.63,-9.45,-46.3
Itaituba,BR,1587418613,32.0,59,20,2.6,-4.28,-55.98
Codrington,AU,1587418372,11.6,81,87,6.27,-38.27,141.97
Norman Wells,CA,1587418613,0.0,96,90,2.1,65.28,-126.83
Cody,US,1587418564,16.0,21,1,1.5,44.53,-109.06
Camacha,PT,1587418573,16.0,59,20,8.2,33.08,-16.33
Upata,VE,1587418614,30.94,40,89,3.2,8.01,-62.4
Faanui,PF,1587418615,27.72,77,91,8.74,-16.48,-151.75
Port Hedland,AU,1587418615,26.0,88,77,1.5,-20.32,118.57
Buin,CL,1587418615,29.0,24,86,2.1,-33.73,-70.75
Boyolangu,ID,1587418615,24.99,86,82,1.0,-8.12,111.89
Haines Junction,CA,1587418433,5.25,60,100,3.69,60.75,-137.51
Grand Baie,MU,1587418616,23.33,85,22,4.02,-20.02,57.58
Wajima,JP,1587418616,12.53,82,100,12.21,37.4,136.9
Galveston,US,1587418616,27.78,69,1,4.1,29.37,-94.97
Yinchuan,CN,1587418616,6.67,9,100,0.89,38.47,106.27
Krasnosel'kup,RU,1587418617,0.88,96,100,4.55,65.7,82.47
Jos,NG,1587418617,24.3,43,99,2.28,9.92,8.9
Zaozyornoye,UA,1587418617,9.02,63,0,4.61,45.16,33.28
Inhambane,MZ,1587418618,23.18,84,2,3.36,-23.86,35.38
São Luiz Gonzaga,BR,1587418618,23.58,42,0,1.88,-28.41,-54.96
San Cristobal,VE,1587418504,34.0,44,40,5.1,7.77,-72.22
Ambilobe,MG,1587418590,23.2,79,72,3.01,-13.2,49.05
Kharp,RU,1587418620,-1.63,97,90,1.92,66.8,65.81
Coquimbo,CL,1587418621,17.0,82,75,3.6,-29.95,-71.34
Saint Anthony,US,1587418621,15.0,37,75,10.3,45.02,-93.22
Arlit,NE,1587418621,32.73,9,0,3.69,18.74,7.39
Coyhaique,CL,1587418519,9.0,57,20,1.5,-45.58,-72.07
Dapdapan,PH,1587418621,25.64,89,100,1.9,11.49,122.63
Marrakesh,MA,1587418622,16.0,72,40,5.7,31.63,-8.01
Sampit,ID,1587418622,24.43,94,31,1.03,-2.53,112.95
Kichera,RU,1587418622,-9.64,80,0,3.42,55.94,110.1
Clyde River,CA,1587418622,-17.0,84,75,2.6,70.47,-68.59
Emba,KZ,1587418622,11.96,72,43,6.21,48.83,58.14
Port Blair,IN,1587418623,28.67,72,2,2.61,11.67,92.75
Bell Ville,AR,1587418623,27.22,47,0,1.68,-32.63,-62.69
Half Moon Bay,US,1587418623,18.89,71,75,5.1,37.46,-122.43
Saldanha,ZA,1587418519,17.0,77,100,1.5,-33.01,17.94
Diamantino,BR,1587418614,26.96,76,89,0.43,-14.41,-56.45
Surin,TH,1587418624,30.56,84,79,2.8,14.88,103.49
Oyem,GA,1587418624,20.22,80,53,1.18,1.6,11.58
Rocha,UY,1587418527,18.96,76,0,0.99,-34.48,-54.33
Provideniya,RU,1587418526,-7.0,73,75,5.0,64.38,-173.3
Atbasar,KZ,1587418625,15.37,45,100,3.1,51.8,68.33
Burnie,AU,1587418626,11.11,9,45,1.34,-41.07,145.92
Zaozhuang,CN,1587418626,8.77,45,56,7.4,34.86,117.55
Lugovoy,KZ,1587418626,12.78,45,0,1.72,42.95,72.76
Ngunguru,NZ,1587418626,15.56,99,100,0.45,-35.62,174.5
Ugoofaaru,MV,1587418626,29.79,70,100,3.22,5.67,73.0
Cottbus,DE,1587418627,8.33,54,0,2.68,51.77,14.33
Pokhara,NP,1587418627,17.82,35,100,0.56,28.23,83.98
Weiser,US,1587418627,23.0,18,20,2.1,44.25,-116.97
Hamilton,US,1587418416,18.89,27,20,7.2,39.18,-84.53
Homer,US,1587418628,8.0,75,90,3.1,59.64,-151.55
Naantali,FI,1587418629,5.0,75,55,2.1,60.47,22.02
Portland,US,1587418595,21.11,42,20,3.1,45.52,-122.68
Kavaratti,IN,1587418589,29.62,69,99,2.29,10.57,72.64
Buta,CD,1587418630,21.5,83,1,0.41,2.79,24.73
Piaçabuçu,BR,1587418631,26.46,79,70,3.5,-10.41,-36.43
Sovetskiy,RU,1587418631,3.63,76,100,0.86,61.36,63.58
Glendive,US,1587418384,17.0,25,75,10.3,47.11,-104.71
Salas,ES,1587418631,13.0,87,75,1.0,43.41,-6.26
Aklavik,CA,1587418632,-11.0,72,75,3.6,68.22,-135.01
Mackay,AU,1587418596,24.0,94,90,3.1,-21.15,149.2
Ortigueira,BR,1587418632,18.67,54,13,0.41,-24.21,-50.95
Lincoln,US,1587418503,21.0,21,75,7.2,40.8,-96.67
Alice Springs,AU,1587418455,22.0,43,40,4.6,-23.7,133.88
Hong Kong,HK,1587418441,26.0,78,40,2.6,22.29,114.16
Beloha,MG,1587418633,21.29,73,0,5.94,-25.17,45.05
Chongwe,ZM,1587418427,17.0,77,70,1.0,-15.33,28.68
Gīdam,IN,1587418634,25.74,56,22,1.41,18.98,81.4
General Pico,AR,1587418634,25.46,43,98,3.39,-35.66,-63.76
Cabo San Lucas,MX,1587418524,28.33,44,5,6.7,22.89,-109.91
Rawson,AR,1587418635,15.07,35,25,3.81,-43.3,-65.1
La Palma,US,1587418636,21.11,52,90,2.1,33.85,-118.05
Port Moresby,PG,1587418637,24.0,100,20,1.5,-9.44,147.18
Karpogory,RU,1587418637,-1.24,98,98,1.75,64.0,44.45
Doha,QA,1587418502,27.0,54,100,4.1,25.29,51.53
Sur,OM,1587418637,28.69,55,13,1.31,22.57,59.53
Erzin,TR,1587418390,20.0,74,51,0.1,36.96,36.2
Taitung City,TW,1587418638,24.52,65,8,1.28,22.76,121.14
Moerai,PF,1587418638,25.93,75,3,9.53,-22.43,-151.33
Buchanan,LR,1587418364,25.0,94,75,4.6,5.88,-10.05
College,US,1587418343,5.56,93,90,1.5,64.86,-147.8
Lerwick,GB,1587418438,8.0,87,0,4.1,60.15,-1.15
Oyama,JP,1587418639,13.89,93,75,0.5,36.3,139.8
Puerto Madero,MX,1587418640,33.0,52,40,4.1,14.72,-92.42
Katherine,AU,1587418640,25.0,65,36,2.1,-14.47,132.27
Lompoc,US,1587418584,18.0,63,1,7.2,34.64,-120.46
Jijiga,ET,1587418641,18.29,54,94,3.65,9.35,42.8
Srednekolymsk,RU,1587418641,-11.24,93,99,4.93,67.45,153.68
Bilibino,RU,1587418584,-15.88,87,90,1.44,68.05,166.44
Ambulu,ID,1587418642,25.49,81,100,1.41,-8.35,113.61
Avezzano,IT,1587418643,14.44,94,100,1.7,42.04,13.44
Sorong,ID,1587418643,24.61,92,100,3.74,-0.88,131.25
St. George's,GD,1587418584,29.0,74,20,6.7,12.06,-61.75
Letlhakane,BW,1587418643,17.81,32,0,3.25,-21.42,25.58
Shubarshi,KZ,1587418644,12.15,75,42,5.01,48.59,57.19
Huarmey,PE,1587418644,25.76,59,4,4.21,-10.07,-78.15
Iskateley,RU,1587418644,-2.32,97,99,7.03,67.68,53.15
Nouadhibou,MR,1587418644,21.0,60,0,5.7,20.93,-17.03
Creel,MX,1587418645,20.92,9,99,7.2,27.75,-107.63
Trofors,NO,1587418646,6.0,87,100,0.5,65.53,13.41
Pevek,RU,1587418647,-14.9,93,99,2.64,69.7,170.31
Turbat,PK,1587418647,28.95,36,1,0.96,26.0,63.04
Patitiri,GR,1587418648,13.33,92,100,9.87,39.15,23.87
Coahuayana Viejo,MX,1587418352,29.0,62,20,4.1,18.73,-103.68
Labuhan,ID,1587418649,26.13,85,55,2.29,-6.88,112.21
Xining,CN,1587418565,2.31,38,100,0.95,36.62,101.77
Kuznechnoye,RU,1587418649,5.56,92,82,2.0,61.12,29.87
Mitchell,US,1587418649,18.0,27,90,11.3,43.71,-98.03
Batabanó,CU,1587418649,32.0,49,75,6.2,22.72,-82.29
Kaitangata,NZ,1587418649,8.33,82,76,1.79,-46.28,169.85
Bahār,IR,1587418650,12.28,35,27,2.21,34.91,48.44
Nome,US,1587418650,0.0,92,90,3.1,64.5,-165.41
Rafrāf,TN,1587418650,18.0,93,40,7.2,37.19,10.18
Bilma,NE,1587418651,29.96,12,0,2.05,18.69,12.92
Santa Maria,BR,1587418651,21.98,53,0,1.04,-29.68,-53.81
Kungurtug,RU,1587418651,-1.64,52,63,0.69,50.6,97.52
Lethem,GY,1587418652,27.27,69,100,6.65,3.38,-59.8
Oyo,NG,1587418652,25.07,77,72,1.41,7.85,3.93
Kupang,ID,1587418652,24.0,94,20,1.5,-10.17,123.58
Korla,CN,1587418652,15.56,40,88,2.24,41.76,86.15
Laibin,CN,1587418652,23.51,88,48,2.31,23.7,109.27
Biltine,TD,1587418652,26.88,13,75,3.68,14.53,20.92
Bima,ID,1587418652,24.94,85,55,1.78,-8.47,118.72
Port Hardy,CA,1587418652,11.0,81,75,2.6,50.7,-127.42
Upornaya,RU,1587418653,6.23,79,100,3.84,44.39,41.02
Ola,RU,1587418653,-11.26,84,0,2.86,59.58,151.28
Grand Gaube,MU,1587418653,23.33,85,20,4.02,-20.01,57.66
Eureka,US,1587418653,12.78,71,40,3.1,40.8,-124.16
Amapá,BR,1587418653,23.49,93,100,1.41,1.0,-52.0
Zeya,RU,1587418653,-5.47,90,100,6.49,53.75,127.27
Chicama,PE,1587418509,21.0,88,20,5.7,-7.84,-79.15
Williston,US,1587418652,15.0,30,1,11.3,48.15,-103.62
Aswān,EG,1587418654,24.99,23,6,3.71,24.09,32.91
Honningsvåg,NO,1587418655,4.0,69,40,11.3,70.98,25.97
Torbat-e Jām,IR,1587418655,17.11,34,21,0.42,35.24,60.62
Guaíra,BR,1587418655,22.3,70,21,2.0,-20.32,-48.31
Acapulco de Juárez,MX,1587418656,28.0,74,5,4.6,16.86,-99.89
Fortuna,US,1587418656,12.78,87,75,3.1,40.6,-124.16
Vostok,RU,1587418656,-1.04,77,100,1.85,46.49,135.88
Grevesmühlen,DE,1587418657,8.33,59,0,4.02,53.87,11.18
Praia,CV,1587418657,22.0,73,20,8.2,14.92,-23.51
Beşikdüzü,TR,1587418657,13.0,82,75,4.6,41.05,39.23
Kaeo,NZ,1587418548,15.56,95,100,2.78,-35.1,173.78
